TEAM,NATIONALITY,POSITION,AGE,POTENTIAL,NAME
Atlético Mineiro ,Brazil,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,20,Muy bueno,Rosberto Dourado
Cruzeiro ,Brazil,Defensa central|Mediocampista defensivo,24,Muy bueno,Juiano Mestres
Grêmio ,Brazil,Portero,32,Muy bueno,Raphaelito Anjos
Manchester United ,England,Lateral (lateral izquierdo)|Defensa lateral|Extremo (Extremo derecho),22,Muy bueno,Aaron Wan-Bissaka
Borussia Mönchengladbach ,Switzerland,Defensa central|Mediocampista defensivo|Mediocampista central,23,Muy bueno,Denis Zakaria
FC Barcelona ,Portugal,Defensa lateral,26,Muy bueno,Nélson Semedo
Tottenham Hotspur ,Argentina,Mediocampista central|Mediocampista ofensivo,24,Muy bueno,Giovani Lo Celso
Arsenal ,Ivory Coast,Mediocampista lateral|Extremo (Extremo derecho),25,Muy bueno,Nicolas Pépé
Tottenham Hotspur ,Netherlands,Mediocampista ofensivo|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),22,Muy bueno,Steven Bergwijn
Paris Saint-Germain ,France,Defensa central,24,Muy bueno,Presnel Kimpembe
Liverpool ,England,Defensa lateral|Defensa central,23,Muy bueno,Joe Gomez
Valencia CF ,Portugal,Delantero|Mediocampista lateral (Mediocampista derecho),23,Muy bueno,Gonçalo Guedes
Sporting CP ,Argentina,Defensa lateral (lateral derecha)|Extremo (Extremo izquierdo),28,Muy bueno,Marcos Acuña
Wolverhampton Wanderers ,Portugal,Mediocampista central,23,Muy bueno,Rúben Neves
Getafe CF ,Spain,Portero,27,Muy bueno,David Soria
Real Sociedad ,Norway,Mediocampista lateral|Mediocampista central|Mediocampista ofensivo,21,Muy bueno,Martin Ødegaard
Liverpool ,Guinea,Mediocampista defensivo|Mediocampista central,25,Muy bueno,Naby Keïta
Real Madrid ,Spain,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),24,Muy bueno,Marco Asensio
Tottenham Hotspur ,Colombia,Defensa central,24,Muy bueno,Davinson Sánchez
Leicester City ,England,Mediocampista central|Mediocampista ofensivo|Extremo (Extremo izquierdo),23,Muy bueno,James Maddison
Newcastle United ,Slovakia,Portero,31,Muy bueno,Martin Dúbravka
FC Bayern München ,France,Mediocampista defensivo|Mediocampista central,25,Muy bueno,Corentin Tolisso
Napoli ,Italy,Delantero|Mediocampista lateral|Extremo (Extremo derecho),26,Muy bueno,Matteo Politano
Athletic Club ,Spain,Delantero|Extremo (Extremo derecho),26,Muy bueno,Iñaki Williams
LOSC Lille ,France,Portero,25,Muy bueno,Mike Maignan
Atlético Madrid ,Argentina,Delantero|Mediocampista lateral,25,Muy bueno,Ángel Correa
Atlético Madrid ,France,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,24,Muy bueno,Thomas Lemar
Olympique Lyonnais ,France,Delantero,24,Muy bueno,Moussa Dembélé
Manchester City ,Portugal,Defensa lateral,26,Muy bueno,João Cancelo
Juventus ,France,Mediocampista defensivo|Mediocampista central,25,Muy bueno,Adrien Rabiot
D. Alavés ,Spain,Portero,28,Muy bueno,Pacheco
Torino ,Italy,Delantero,26,Muy bueno,Andrea Belotti
