Year;Month;Day;Flag Tsunami;Flag Earthquake;Volcano Name;Location;Country;Elevation;Volcano Type;Status;Volcanic Explosivity Index;Volcano : Deaths;Volcano : Deaths Description;Volcano : Missing;Volcano : Missing Description;Volcano : Injuries;Volcano : Injuries Description;Volcano : Damage (in M$);Volcano : Damage Description;Volcano : Houses destroyed;Volcano : Houses destroyed Description;Total Effects : Deaths;Total Effects : Deaths Description;Total Effects : Missing;Total Effects : Missing Description;Total Effects : Injuries;Total Effects : Injuries Description;Total Effects : Damages in million Dollars;Total Effects : Damage Description;Total Effects : Houses Destroyed;Total Effects : Houses Destroyed Description;Coordinates;Earthquakes : Houses damaged Description;Total Effects : Houses Damaged Description
1280;;;;;Quilotoa;Ecuador;Ecuador;3914;Caldera;Radiocarbon;6;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;;;;-0.85,-78.9;;
1540;;;Tsunami;;Augustine;Alaska-SW;United States;1252;Lava dome;Historical;4;;;;;;;;;;;;;;;;;;;;;59.37,-153.42;;
1660;;;Tsunami;;Long Island;New Guinea-NE of;Papua New Guinea;1280;Complex volcano;Historical;6;2000;Very Many (~1001 or more deaths);;;;;;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);2000;Very Many (~1001 or more deaths);;;;;;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);-5.358,147.12;;
1858;04;23;;Earthquake;Tate-yama;Honshu-Japan;Japan;2621;Stratovolcano;Historical;;;Many (~101 to 1000 deaths);;;;;;;;;;Many (~101 to 1000 deaths);;;;;;;;;36.57,137.6;;
1864;01;03;;;Kelut;Java;Indonesia;1731;Stratovolcano;Historical;2;54;Some (~51 to 100 deaths);;;;;;;;Many (~101 to 1000 houses);54;Some (~51 to 100 deaths);;;;;;;;Many (~101 to 1000 houses);-7.93,112.308;;
1873;01;16;;;Ragang;Mindanao-Philippines;Philippines;2815;Stratovolcano;Historical;2;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;7.67,124.5;;
1902;08;07;;;Tori-shima;Izu Is-Japan;Japan;403;Stratovolcano;Historical;3;125;Many (~101 to 1000 deaths);;;;;;;;;125;Many (~101 to 1000 deaths);;;;;;;;;30.48,140.32;;
1907;08;04;;;Alayta;Africa-NE;Ethiopia;1501;Shield volcano;Historical;2;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;12.88,40.57;;
1909;09;;;;Semeru;Java;Indonesia;3676;Stratovolcano;Historical;2;221;Many (~101 to 1000 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);;;221;Many (~101 to 1000 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);;;-8.108,112.92;;
1919;05;19;;;Kelut;Java;Indonesia;1731;Stratovolcano;Historical;4;5110;Very Many (~1001 or more deaths);;;;;;;9000;Very Many (~1001 or more houses);5110;Very Many (~1001 or more deaths);;;;;;;9000;Very Many (~1001 or more houses);-7.93,112.308;;
1919;07;06;;;Nasu;Honshu-Japan;Japan;1917;Stratovolcano;Historical;;2;Few (~1 to 50 deaths);;;;;;;;;2;Few (~1 to 50 deaths);;;;;;;;;37.12,139.97;;
1920;10;29;;;Izalco;El Salvador;El Salvador;1950;Stratovolcano;Historical;3;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;13.813,-89.633;;
1938;05;09;;;Bandai;Honshu-Japan;Japan;1819;Stratovolcano;Historical;;2;Few (~1 to 50 deaths);;;;;;;;;2;Few (~1 to 50 deaths);;;;;;;;;37.6,140.08;;
1949;01;01;;;Villarrica;Chile-C;Chile;2847;Stratovolcano;Historical;3;54;Some (~51 to 100 deaths);;;;;;MODERATE (~$1 to $5 million);;;54;Some (~51 to 100 deaths);;;;;;MODERATE (~$1 to $5 million);;;-39.42,-71.93;;
1963;09;28;;;Fuego;Guatemala;Guatemala;3763;Stratovolcano;Historical;3;7;Few (~1 to 50 deaths);;;;;;;;;7;Few (~1 to 50 deaths);;;;;;;;;14.473,-90.88;;
1968;04;21;;;Mayon;Luzon-Philippines;Philippines;2462;Stratovolcano;Historical;3;6;Few (~1 to 50 deaths);;;;;;;;;6;Few (~1 to 50 deaths);;;;;;;;;13.257,123.685;;
1985;05;10;;;Semeru;Java;Indonesia;3676;Stratovolcano;Historical;3;70;Some (~51 to 100 deaths);;;;;;;;;70;Some (~51 to 100 deaths);;;;;;;;;-8.108,112.92;;
1992;07;05;;;Marapi;Sumatra;Indonesia;2891;Complex volcano;Historical;2;1;Few (~1 to 50 deaths);;;5.0;Few (~1 to 50 deaths);;;;;1;Few (~1 to 50 deaths);;;5.0;Few (~1 to 50 deaths);;;;;-0.381,100.473;;
2001;10;20;;;Stromboli;Italy;Italy;926;Stratovolcano;Historical;2;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;38.789,15.213;;
2004;10;24;;;Manam;New Guinea-NE of;Papua New Guinea;1807;Stratovolcano;Historical;4;5;Few (~1 to 50 deaths);;;;;;;;;5;Few (~1 to 50 deaths);;;;;;;;;-4.1,145.061;;
2010;05;29;Tsunami;Earthquake;Sarigan;Mariana Is-C Pacific;United States;538;Stratovolcano;Holocene;;;;;;;;;;;;;;;;;;;;;;16.708,145.78;;
2018;12;26;;Earthquake;Etna;Italy;Italy;3350;Stratovolcano;Historical;2;;;;;;;;;;;;;;;28.0;Few (~1 to 50 deaths);115;EXTREME (~$25 million or more);15;Few (~1 to 50 houses);37.734,15.004;;
2020;01;12;;;Taal;Luzon-Philippines;Philippines;400;Stratovolcano;Historical;;;;;;;;67.0;EXTREME (~$25 million or more);4573;Very Many (~1001 or more houses);;;;;;;67;EXTREME (~$25 million or more);4573;Very Many (~1001 or more houses);14.002,120.993;;
1357;;;;;Katla;Iceland-S;Iceland;1512;Subglacial volcano;Historical;4;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;63.63,-19.05;;
1586;;;;;Kelut;Java;Indonesia;1731;Stratovolcano;Historical;5;10000;Very Many (~1001 or more deaths);;;;;;;;;10000;Very Many (~1001 or more deaths);;;;;;;;;-7.93,112.308;;
1730;;;;;Tseax River Cone;Canada;Canada;609;Pyroclastic cone;Radiocarbon;;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;55.12,-128.9;;
1823;02;;;;Kilauea;Hawaiian Is;United States;1222;Shield volcano;Historical;0;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;19.425,-155.292;;
1832;12;25;;;Merapi;Java;Indonesia;2947;Stratovolcano;Historical;3;32;Few (~1 to 50 deaths);;;;;;;;Some (~51 to 100 houses);32;Few (~1 to 50 deaths);;;;;;;;Some (~51 to 100 houses);-7.542,110.442;;
1838;02;26;;;Gamalama;Halmahera-Indonesia;Indonesia;1715;Stratovolcano;Historical;2;4;Few (~1 to 50 deaths);;;;;;;;;4;Few (~1 to 50 deaths);;;;;;;;;0.8,127.325;;
1858;01;;;;Mayon;Luzon-Philippines;Philippines;2462;Stratovolcano;Historical;2;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;13.257,123.685;;
1872;12;;;;Aso;Kyushu-Japan;Japan;1592;Caldera;Historical;3;4;Few (~1 to 50 deaths);;;;;;;;;4;Few (~1 to 50 deaths);;;;;;;;;32.88,131.1;;
1879;02;04;Tsunami;;Stromboli;Italy;Italy;926;Stratovolcano;Historical;2;;;;;;;;;;;;;;;;;;;;;38.789,15.213;;
1893;05;19;;;Azuma;Honshu-Japan;Japan;2024;Stratovolcano;Historical;2;2;Few (~1 to 50 deaths);;;;;;;;;2;Few (~1 to 50 deaths);;;;;;;;;37.73,140.25;;
1918;07;18;Tsunami;;Banua Wuhu;Sangihe Is-Indonesia;Indonesia;-5;Submarine volcano;Historical;3;;;;;;;;;;;;;;;;;;;;;3.138,125.491;;
1940;07;12;;;Miyake-jima;Izu Is-Japan;Japan;815;Stratovolcano;Historical;2;11;Few (~1 to 50 deaths);;;20.0;Few (~1 to 50 deaths);;;;;11;Few (~1 to 50 deaths);;;20.0;Few (~1 to 50 deaths);;;;;34.08,139.53;;
1966;01;13;Tsunami;;Tinakula;Santa Cruz Is-SW Pac;Solomon Is.;851;Stratovolcano;Historical;3;;;;;;;;;;;;;;;;;;;;;-10.38,165.8;;
1970;05;05;;;Hekla;Iceland-S;Iceland;1491;Stratovolcano;Historical;3;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;63.98,-19.7;;
1974;10;10;;;Fuego;Guatemala;Guatemala;3763;Stratovolcano;Historical;4;;Few (~1 to 50 deaths);;;;;;MODERATE (~$1 to $5 million);;Many (~101 to 1000 houses);;Few (~1 to 50 deaths);;;;;;MODERATE (~$1 to $5 million);;Many (~101 to 1000 houses);14.473,-90.88;;
1975;01;;;;Marapi;Sumatra;Indonesia;2891;Complex volcano;Historical;2;80;Some (~51 to 100 deaths);;;;;;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);80;Some (~51 to 100 deaths);;;;;;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);-0.381,100.473;;
1977;04;27;;;Krafla;Iceland-NE;Iceland;650;Caldera;Historical;1;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;65.73,-16.78;;
1984;09;14;;;On-take;Honshu-Japan;Japan;3063;Complex volcano;Historical;;29;Few (~1 to 50 deaths);;;;;;;;;29;Few (~1 to 50 deaths);;;;;;;;;35.9,137.48;;
1989;02;12;;;Aso;Kyushu-Japan;Japan;1592;Caldera;Historical;;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;32.88,131.1;;
1991;06;;;;Mutnovsky;Kamchatka;Russia;2322;Complex volcano;Historical;;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;52.453,158.195;;
1991;08;08;;;Hudson, Cerro;Chile-S;Chile;1905;Stratovolcano;Historical;5;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;-45.9,-72.97;;
1992;03;18;;;Dieng Volc Complex;Java;Indonesia;2565;Complex volcano;Historical;;1;Few (~1 to 50 deaths);;;2.0;Few (~1 to 50 deaths);;;;;1;Few (~1 to 50 deaths);;;2.0;Few (~1 to 50 deaths);;;;;-7.2,109.92;;
1993;02;02;;;Mayon;Luzon-Philippines;Philippines;2462;Stratovolcano;Historical;2;75;Some (~51 to 100 deaths);;;;;;;;;75;Some (~51 to 100 deaths);;;;;;;;;13.257,123.685;;
1995;05;15;;;Kelimutu;Lesser Sunda Is;Indonesia;1640;Complex volcano;Historical;;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;-8.758,121.83;;
2015;10;;;;Okataina;New Zealand;New Zealand;1111;Lava dome;Historical;;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;-38.12,176.5;;
2018;02;09;Tsunami;;Kadovar;New Guinea-NE of;Papua New Guinea;365;Stratovolcano;Holocene;;;;;;;;;;;;;;;;;;;;;;-3.62,144.62;;
-1750;;;;;Veniaminof;Alaska Peninsula;United States;2507;Stratovolcano;Historical;6;;;;;;;;;;;;;;;;;;;;;56.17,-159.38;;
847;;;;;Bona-Churchill;Alaska-E;United States;5005;Stratovolcano;Radiocarbon;6;;;;;;;;;;;;;;;;;;;;;61.38,-141.75;;
930;;;;;Ceboruco;Mexico;Mexico;2280;Stratovolcano;Historical;6;;;;;;;;;;;;;;;;;;;;;21.125,-104.508;;
1158;01;19;;;Hekla;Iceland-S;Iceland;1491;Stratovolcano;Historical;4;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;63.98,-19.7;;
1329;07;;;;Etna;Italy;Italy;3350;Stratovolcano;Historical;1;;Many (~101 to 1000 deaths);;;;;;;;;;Many (~101 to 1000 deaths);;;;;;;;;37.734,15.004;;
1510;10;15;;;Hekla;Iceland-S;Iceland;1491;Stratovolcano;Historical;4;;;;;;;;;;;;Many (~101 to 1000 deaths);;;;;;;;;63.98,-19.7;;
1615;03;;;;Banda Api;Banda Sea;Pacific Ocean;640;Caldera;Historical;3;;;;;;;;MODERATE (~$1 to $5 million);;Some (~51 to 100 houses);;;;;;;;MODERATE (~$1 to $5 million);;Some (~51 to 100 houses);-4.525,129.871;;
1617;;;;;Fuego;Guatemala;Guatemala;3763;Stratovolcano;Historical;3;;;;;;;;;;;;;;;;;;;;;14.473,-90.88;;
1646;07;19;;;Makian;Halmahera-Indonesia;Indonesia;1357;Stratovolcano;Historical;4;;Many (~101 to 1000 deaths);;;;;;;;;;Many (~101 to 1000 deaths);;;;;;;;;0.32,127.4;;
1677;11;22;;;La Palma;Canary Is;Spain;2426;Stratovolcano;Historical;2;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;28.58,-17.83;;
1784;;;;;Hualalai;Hawaiian Is;United States;2523;Shield volcano;Historical;0;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;19.692,-155.87;;
1800;;;;;St. Helens;US-Washington;United States;2549;Stratovolcano;Historical;5;;Many (~101 to 1000 deaths);;;;;;;;;;Many (~101 to 1000 deaths);;;;;;;;;46.2,-122.18;;
1820;06;11;;;Banda Api;Banda Sea;Pacific Ocean;640;Caldera;Historical;2;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;-4.525,129.871;;
1827;06;27;Tsunami;Earthquake;Avachinsky;Kamchatka;Russia;2741;Stratovolcano;Historical;2;;;;;;;;;;;;;;;;;;;;;53.255,158.83;;
1843;11;17;;;Etna;Italy;Italy;3350;Stratovolcano;Historical;2;56;Some (~51 to 100 deaths);;;;Some (~51 to 100 deaths);;;;;56;Some (~51 to 100 deaths);;;;Some (~51 to 100 deaths);;;;;37.734,15.004;;
1847;12;04;;;Dieng Volc Complex;Java;Indonesia;2565;Complex volcano;Historical;2;;Some (~51 to 100 deaths);;;;;;;;;;Some (~51 to 100 deaths);;;;;;;;;-7.2,109.92;;
1857;04;17;Tsunami;Earthquake;Umboi;New Guinea-NE of;Papua New Guinea;1548;Complex volcano;Holocene;;;;;;;;;;;;;;;;;;;;;;-5.589,147.875;;
1866;09;12;Tsunami;;Ofu-Olosega;Samoa-SW Pacific;United States;639;Shield volcano;Historical;2;;;;;;;;;;;;;;;;;;;;;-14.175,-169.618;;
1870;08;;;;Ruang;Sangihe Is-Indonesia;Indonesia;725;Stratovolcano;Historical;2;;Few (~1 to 50 deaths);;;;;;;40;Few (~1 to 50 houses);;Few (~1 to 50 deaths);;;;;;;40;Few (~1 to 50 houses);2.28,125.425;;
1870;;;;;Iliwerung;Lesser Sunda Is;Indonesia;1018;Complex volcano;Historical;3;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;-8.54,123.59;;
1885;05;25;;Earthquake;Purace;Colombia;Colombia;4650;Stratovolcano;Historical;3;;Some (~51 to 100 deaths);;;;;;MODERATE (~$1 to $5 million);;Some (~51 to 100 houses);;Some (~51 to 100 deaths);;;;;;MODERATE (~$1 to $5 million);;Some (~51 to 100 houses);2.32,-76.4;;
1897;03;26;Tsunami;;Tinakula;Santa Cruz Is-SW Pac;Solomon Is.;851;Stratovolcano;Historical;2;;;;;;;;;;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;Few (~1 to 50 houses);-10.38,165.8;;
1902;05;07;Tsunami;;Soufriere St. Vincent;W Indies;St. Vincent & the Grenadines;1220;Stratovolcano;Historical;4;1680;Very Many (~1001 or more deaths);;;;Many (~101 to 1000 deaths);;;;;1680;Very Many (~1001 or more deaths);;;;Many (~101 to 1000 deaths);;;;;13.33,-61.18;;
1903;;;;;Karthala;Indian O-W;Comoros;2361;Shield volcano;Historical;;17;Few (~1 to 50 deaths);;;;;;;;;17;Few (~1 to 50 deaths);;;;;;;;;-11.75,43.38;;
1932;10;01;;;Kusatsu-Shirane;Honshu-Japan;Japan;2176;Stratovolcano;Historical;3;2;Few (~1 to 50 deaths);;;7.0;Few (~1 to 50 deaths);;;;;2;Few (~1 to 50 deaths);;;7.0;Few (~1 to 50 deaths);;;;;36.62,138.55;;
1951;;;Tsunami;;Kavachi;Solomon Is-SW Pacifi;Solomon Is.;-20;Submarine volcano;Historical;2;;;;;;;;;;;;;;;;;;;;;-9.02,157.95;;
1971;12;27;;;Kusatsu-Shirane;Honshu-Japan;Japan;2176;Stratovolcano;Historical;;6;Few (~1 to 50 deaths);;;;;;;;;6;Few (~1 to 50 deaths);;;;;;;;;36.62,138.55;;
1991;10;24;;;Lokon-Empung;Sulawesi-Indonesia;Indonesia;1580;Stratovolcano;Historical;1;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;1.358,124.792;;
1995;04;07;;;Pacaya;Guatemala;Guatemala;2552;Complex volcano;Historical;3;1;Few (~1 to 50 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);1;Few (~1 to 50 houses);1;Few (~1 to 50 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);1;Few (~1 to 50 houses);14.381,-90.601;;
1998;04;28;;;Kilauea;Hawaiian Is;United States;1222;Shield volcano;Historical;;1;Few (~1 to 50 deaths);;;;;;;;;;;;;;;;;;;19.425,-155.292;;
1999;05;21;;;Fuego;Guatemala;Guatemala;3763;Stratovolcano;Historical;2;;;;;;;;;;;;;;;;;;;;;14.473,-90.88;;
2011;12;27;;;Gamalama;Halmahera-Indonesia;Indonesia;1715;Stratovolcano;Historical;3;4;Few (~1 to 50 deaths);;;;Few (~1 to 50 deaths);;;;;4;Few (~1 to 50 deaths);;;;Few (~1 to 50 deaths);;;;;0.8,127.325;;
2017;12;27;;;Sinabung;Sumatra;Indonesia;2460;Stratovolcano;Holocene;;;;;;;;;MODERATE (~$1 to $5 million);;;;;;;;;;MODERATE (~$1 to $5 million);;;3.17,98.392;;
-1890;;;;;Hudson, Cerro;Chile-S;Chile;1905;Stratovolcano;Historical;6;;;;;;;;;;;;;;;;;;;;;-45.9,-72.97;;
-455;;;;;Cotopaxi;Ecuador;Ecuador;5911;Stratovolcano;Historical;4;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;-0.677,-78.436;;
240;;;;;Ksudach;Kamchatka;Russia;1079;Stratovolcano;Historical;6;;;;;;;;;;;;;;;;;;;;;51.8,157.53;;
1362;06;05;;;Oraefajokull;Iceland-SE;Iceland;2119;Stratovolcano;Historical;5;220;Many (~101 to 1000 deaths);;;;;;;;;220;Many (~101 to 1000 deaths);;;;;;;;;64.0,-16.65;;
1385;;;;;Kelut;Java;Indonesia;1731;Stratovolcano;Historical;3;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;-7.93,112.308;;
1630;09;03;;;Furnas;Azores;Portugal;805;Stratovolcano;Historical;4;200;Many (~101 to 1000 deaths);;;;;;;;;200;Many (~101 to 1000 deaths);;;;;;;;;37.77,-25.32;;
1669;03;11;;Earthquake;Etna;Italy;Italy;3350;Stratovolcano;Historical;3;;Many (~101 to 1000 deaths);;;;;;;;;;Many (~101 to 1000 deaths);;;;;;;;;37.734,15.004;;
1670;;;;;Aoba;Vanuatu-SW Pacific;Vanuatu;1496;Shield volcano;Historical;2;;Many (~101 to 1000 deaths);;;;;;;;;;Many (~101 to 1000 deaths);;;;;;;;;-15.4,167.83;;
1690;;;;;Guntur;Java;Indonesia;2249;Complex volcano;Historical;3;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;-7.13,107.83;;
1766;07;20;;;Mayon;Luzon-Philippines;Philippines;2462;Stratovolcano;Historical;3;49;Few (~1 to 50 deaths);;;;;;;;;49;Few (~1 to 50 deaths);;;;;;;;;13.257,123.685;;
1780;07;27;;;Aoga-shima;Izu Is-Japan;Japan;423;Stratovolcano;Historical;3;7;Few (~1 to 50 deaths);;;;;;;;Few (~1 to 50 houses);7;Few (~1 to 50 deaths);;;;;;;;Few (~1 to 50 houses);32.45,139.77;;
1784;04;;;;Grimsvotn;Iceland-NE;Iceland;1725;Caldera;Historical;4;;;;;;;;;;;9350;Very Many (~1001 or more deaths);;;;;;;;;64.42,-17.33;;
1890;;;;;Victory;New Guinea;Papua New Guinea;1925;Stratovolcano;Historical;2;;Many (~101 to 1000 deaths);;;;;;;;;;Many (~101 to 1000 deaths);;;;;;;;;-9.2,149.07;;
1913;05;29;;;Asama;Honshu-Japan;Japan;2560;Complex volcano;Historical;1;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;36.4,138.53;;
1926;05;24;;;Tokachi;Hokkaido-Japan;Japan;2077;Stratovolcano;Historical;3;144;Many (~101 to 1000 deaths);;;207.0;Many (~101 to 1000 deaths);;;5080;Very Many (~1001 or more houses);144;Many (~101 to 1000 deaths);;;207.0;Many (~101 to 1000 deaths);;;5080;Very Many (~1001 or more houses);43.42,142.68;;
1932;01;21;;;Fuego;Guatemala;Guatemala;3763;Stratovolcano;Historical;4;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;14.473,-90.88;;
1964;03;03;;;Villarrica;Chile-C;Chile;2847;Stratovolcano;Historical;2;25;Few (~1 to 50 deaths);;;;;;;;;25;Few (~1 to 50 deaths);;;;;;;;;-39.42,-71.93;;
1967;12;04;Tsunami;;Deception Island;Antarctica;Antarctica;576;Caldera;Historical;3;;;;;;;;;;;;;;;;;;;;;-62.97,-60.65;;
1974;10;22;;;Merapi;Java;Indonesia;2947;Stratovolcano;Historical;2;9;Few (~1 to 50 deaths);;;;;;;6;Few (~1 to 50 houses);9;Few (~1 to 50 deaths);;;;;;;6;Few (~1 to 50 houses);-7.542,110.442;;
1977;01;10;;;Nyiragongo;Africa-C;Congo, DRC;3470;Stratovolcano;Historical;1;;Some (~51 to 100 deaths);;;;;;SEVERE (~>$5 to $24 million);;;;Some (~51 to 100 deaths);;;;;;SEVERE (~>$5 to $24 million);;;-1.52,29.25;;
1988;12;25;;;Lonquimay;Chile-C;Chile;2865;Stratovolcano;Historical;3;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;-38.377,-71.58;;
1991;06;03;;;Unzen;Kyushu-Japan;Japan;1500;Complex volcano;Historical;1;43;Few (~1 to 50 deaths);;;;;;;;;43;Few (~1 to 50 deaths);;;;;;;;;32.75,130.3;;
1993;03;12;;;Guagua Pichincha;Ecuador;Ecuador;4784;Stratovolcano;Historical;1;2;Few (~1 to 50 deaths);;;;;;;;;2;Few (~1 to 50 deaths);;;;;;;;;-0.171,-78.598;;
2008;08;22;;;Tungurahua;Ecuador;Ecuador;5023;Stratovolcano;Historical;3;2;Few (~1 to 50 deaths);;;2.0;Few (~1 to 50 deaths);;LIMITED (roughly corresponding to less than $1 million);2;Few (~1 to 50 houses);2;Few (~1 to 50 deaths);;;2.0;Few (~1 to 50 deaths);;LIMITED (roughly corresponding to less than $1 million);2;Few (~1 to 50 houses);-1.467,-78.442;;
2011;06;22;;;Nabro;Africa-NE;Eritrea;2218;Stratovolcano;Holocene;3;31;Few (~1 to 50 deaths);;;;Many (~101 to 1000 deaths);;LIMITED (roughly corresponding to less than $1 million);;;31;Few (~1 to 50 deaths);;;;Many (~101 to 1000 deaths);;LIMITED (roughly corresponding to less than $1 million);;;13.37,41.7;;
2013;09;01;;;Ubinas;Peru;Peru;5672;Stratovolcano;Historical;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;-16.355,-70.903;;
2014;02;01;;;Sinabung;Sumatra;Indonesia;2460;Stratovolcano;Holocene;;17;Few (~1 to 50 deaths);;;3.0;Few (~1 to 50 deaths);;LIMITED (roughly corresponding to less than $1 million);;Some (~51 to 100 houses);17;Few (~1 to 50 deaths);;;3.0;Few (~1 to 50 deaths);;LIMITED (roughly corresponding to less than $1 million);;Some (~51 to 100 houses);3.17,98.392;;
2015;10;16;;;Sinabung;Sumatra;Indonesia;2460;Stratovolcano;Holocene;;1;Few (~1 to 50 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);;;1;Few (~1 to 50 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);;;3.17,98.392;;
416;;;Tsunami;;Krakatau;Indonesia;Indonesia;813;Caldera;Historical;;;Few (~1 to 50 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);;;;Many (~101 to 1000 deaths);;;;;;EXTREME (~$25 million or more);;;-6.102,105.423;;
1311;;;;;Kelut;Java;Indonesia;1731;Stratovolcano;Historical;3;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;-7.93,112.308;;
1410;03;05;;;Nasu;Honshu-Japan;Japan;1917;Stratovolcano;Historical;3;180;Many (~101 to 1000 deaths);;;;;;;;;180;Many (~101 to 1000 deaths);;;;;;;;;37.12,139.97;;
1672;04;24;;;Fayal;Azores;Portugal;1043;Stratovolcano;Historical;2;3;Few (~1 to 50 deaths);;;;;;;;;3;Few (~1 to 50 deaths);;;;;;;;;38.6,-28.73;;
1780;10;31;Tsunami;;Sakura-jima;Kyushu-Japan;Japan;1117;Stratovolcano;Historical;;;;;;;;;;;;;;;;;;;;;;31.58,130.67;;
1800;;;;;Kieyo;Africa-E;Tanzania;2175;Stratovolcano;Historical;2;;Many (~101 to 1000 deaths);;;;;;SEVERE (~>$5 to $24 million);;;;Many (~101 to 1000 deaths);;;;;;SEVERE (~>$5 to $24 million);;;-9.23,33.78;;
1803;11;07;;;Asama;Honshu-Japan;Japan;2560;Complex volcano;Historical;2;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;36.4,138.53;;
1894;10;;;;Ambrym;Vanuatu-SW Pacific;Vanuatu;1334;Pyroclastic shield;Historical;3;10;Few (~1 to 50 deaths);;;;;;;;;10;Few (~1 to 50 deaths);;;;;;;;;-16.25,168.12;;
1910;07;25;;;Usu;Hokkaido-Japan;Japan;731;Stratovolcano;Historical;2;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;42.53,140.83;;
1911;05;08;;;Asama;Honshu-Japan;Japan;2560;Complex volcano;Historical;2;1;Few (~1 to 50 deaths);;;;;;;60;Some (~51 to 100 houses);1;Few (~1 to 50 deaths);;;;;;;60;Some (~51 to 100 houses);36.4,138.53;;
1917;06;07;;Earthquake;San Salvador;El Salvador;El Salvador;1893;Stratovolcano;Historical;3;325;Many (~101 to 1000 deaths);;;;;;;;;325;Many (~101 to 1000 deaths);;;;;;;;;13.736,-89.286;;
1923;06;;;;Tangkubanparahu;Java;Indonesia;2084;Stratovolcano;Historical;;3;Few (~1 to 50 deaths);;;;;;;;;3;Few (~1 to 50 deaths);;;;;;;;;-6.77,107.6;;
1923;07;01;;;Kirishima;Kyushu-Japan;Japan;1700;Shield volcano;Historical;2;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;31.93,130.87;;
