Year;Month;Day;Flag Tsunami;Flag Earthquake;Volcano Name;Location;Country;Elevation;Volcano Type;Status;Volcanic Explosivity Index;Volcano : Deaths;Volcano : Deaths Description;Volcano : Missing;Volcano : Missing Description;Volcano : Injuries;Volcano : Injuries Description;Volcano : Damage (in M$);Volcano : Damage Description;Volcano : Houses destroyed;Volcano : Houses destroyed Description;Total Effects : Deaths;Total Effects : Deaths Description;Total Effects : Missing;Total Effects : Missing Description;Total Effects : Injuries;Total Effects : Injuries Description;Total Effects : Damages in million Dollars;Total Effects : Damage Description;Total Effects : Houses Destroyed;Total Effects : Houses Destroyed Description;Coordinates;Earthquakes : Houses damaged Description;Total Effects : Houses Damaged Description
1990;11;25;;;Kelut;Java;Indonesia;1731;Stratovolcano;Historical;;4;Few (~1 to 50 deaths);;;;;;;;;4;Few (~1 to 50 deaths);;;;;;;;;-7.93,112.308;;
1997;08;01;;;Soufriere Hills;W Indies;Montserrat;915;Stratovolcano;Historical;3;2;Few (~1 to 50 deaths);;;;;;;;;2;Few (~1 to 50 deaths);;;;;;;;;16.72,-62.18;;
2002;;;;;Semeru;Java;Indonesia;3676;Stratovolcano;Historical;3;3;Few (~1 to 50 deaths);;;;;;;;;3;Few (~1 to 50 deaths);;;;;;;;;-8.108,112.92;;
2006;08;17;;;Tungurahua;Ecuador;Ecuador;5023;Stratovolcano;Historical;3;5;Few (~1 to 50 deaths);;Some (~51 to 100 deaths);13.0;Few (~1 to 50 deaths);;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);6;Few (~1 to 50 deaths);;Some (~51 to 100 deaths);;Some (~51 to 100 deaths);;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);-1.467,-78.442;;
-3580;;;;;Taal;Luzon-Philippines;Philippines;400;Stratovolcano;Historical;6;;;;;;;;;;;;;;;;;;;;;14.002,120.993;;
-2040;;;;;Long Island;New Guinea-NE of;Papua New Guinea;1280;Complex volcano;Historical;6;;;;;;;;;;;;;;;;;;;;;-5.358,147.12;;
653;;;;;Dakataua;New Britain-SW Pac;Papua New Guinea;400;Caldera;Anthropology;6;;;;;;;;;;;;;;;;;;;;;-5.056,150.108;;
683;;;;;Rabaul;New Britain-SW Pac;Papua New Guinea;688;Pyroclastic shield;Historical;6;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;;;;-4.271,152.203;;
950;;;;;Katla;Iceland-S;Iceland;1512;Subglacial volcano;Historical;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;;;;63.63,-19.05;;
1580;05;01;;;San Jorge;Azores;Portugal;1053;Fissure vent;Historical;3;10;Few (~1 to 50 deaths);;;;;;;;;10;Few (~1 to 50 deaths);;;;;;;;;38.65,-28.08;;
1581;12;26;;;Fuego;Guatemala;Guatemala;3763;Stratovolcano;Historical;4;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;14.473,-90.88;;
1608;07;18;Tsunami;;Gamalama;Halmahera-Indonesia;Indonesia;1715;Stratovolcano;Historical;3;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;Few (~1 to 50 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);;;0.8,127.325;;
1625;09;02;;;Katla;Iceland-S;Iceland;1512;Subglacial volcano;Historical;5;;;;;;;;;;;;;;;;;;;;;63.63,-19.05;;
1660;02;;;;Teon;Banda Sea;Pacific Ocean;655;Stratovolcano;Historical;4;3;Few (~1 to 50 deaths);;;;;;;;;3;Few (~1 to 50 deaths);;;;;;;;;-6.92,129.125;;
1773;02;02;;;Gamalama;Halmahera-Indonesia;Indonesia;1715;Stratovolcano;Historical;2;;Some (~51 to 100 deaths);;;;;;;;;;Some (~51 to 100 deaths);;;;;;;;;0.8,127.325;;
1779;08;08;;;Vesuvius;Italy;Italy;1281;Complex volcano;Historical;2;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;40.821,14.426;;
1801;07;;;;Chokai;Honshu-Japan;Japan;2237;Stratovolcano;Historical;2;8;Few (~1 to 50 deaths);;;;;;;;;8;Few (~1 to 50 deaths);;;;;;;;;39.08,140.03;;
1804;;;;;Shikotsu;Hokkaido-Japan;Japan;1320;Caldera;Historical;3;;Many (~101 to 1000 deaths);;;;;;;;;;Many (~101 to 1000 deaths);;;;;;;;;42.7,141.33;;
1820;03;01;Tsunami;Earthquake;Westdahl;Aleutian Is;United States;1654;Stratovolcano;Historical;2;;;;;;;;;;;;;;;;;;;;;54.52,-164.65;;
